location,image,gt_count,pred_count,true_positive_count,false_positive_count,false_negative_count,max_false_positive_confidence,background_false_alarm
Evo,Evo\evoDJI_0001_frame297.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame298.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame299.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame3.jpg,1,1,0,1,1,0.482537,False
Evo,Evo\evoDJI_0001_frame30.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame300.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame301.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame302.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame303.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame304.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame305.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame306.jpg,1,2,1,1,0,0.285039,False
Evo,Evo\evoDJI_0001_frame307.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame308.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame309.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame31.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame310.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame311.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame312.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame313.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame314.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame315.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame316.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame317.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame318.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame319.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame32.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame320.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame321.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame322.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame323.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame324.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame325.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame326.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame327.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame33.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame34.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame35.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame36.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame37.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame38.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame39.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame4.jpg,1,1,0,1,1,0.461545,False
Evo,Evo\evoDJI_0001_frame40.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame41.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame42.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame43.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame44.jpg,1,0,0,0,1,0.000000,False
Evo,Evo\evoDJI_0001_frame48.jpg,1,0,0,0,1,0.000000,False
Evo,Evo\evoDJI_0001_frame49.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame5.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame50.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame51.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame52.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame53.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame54.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame55.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame56.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame57.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame58.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame59.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame6.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame60.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame61.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame62.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame63.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame64.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame65.jpg,9,1,1,0,8,0.000000,False
Evo,Evo\evoDJI_0001_frame66.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame67.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame68.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame69.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame7.jpg,1,1,0,1,1,0.673642,False
Evo,Evo\evoDJI_0001_frame70.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame71.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame72.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame73.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame74.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame75.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame76.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame77.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame78.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame79.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame8.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame80.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame81.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame82.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame83.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame84.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame85.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame86.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame87.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame88.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame89.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame9.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame90.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame91.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame92.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame93.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame94.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame95.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame96.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame97.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame98.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0001_frame99.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame0.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame1.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame10.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame100.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame101.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame102.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame103.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame104.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame105.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame106.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame107.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame108.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame109.jpg,1,1,1,0,0,0.000000,False
Evo,Evo\evoDJI_0007_frame11.jpg,1,1,1,0,0,0.000000,False
